review_id,homestay_id,homestay_name,district,state,guest_type,rating,review_text,sentiment,review_topic,review_date,host_response,stay_duration_days,booking_channel
1,1048,Wildflower Retreat,Uttarkashi,Uttarakhand,Couple,4,Great value for money and comfortable stay.,Positive,Scenic Beauty,2024-07-22,No,1,Direct
2,1046,Valley Breeze Retreat,Rudraprayag,Uttarakhand,Family,3,The property was satisfactory for a short visit.,Neutral,Trekking,2025-06-25,No,9,Tripadvisor
3,1046,Eco Village Stay,Mukteshwar,Uttarakhand,Solo Traveler,4,Amazing hospitality and very friendly hosts.,Positive,Eco Tourism,2025-09-01,No,10,Referral
4,1024,Mountain View Homestay,Tehri Garhwal,Uttarakhand,Family,4,One of the best homestays we have visited.,Positive,Hospitality,2025-11-22,No,6,Tripadvisor
5,1046,Himalayan Nest,Kausani,Uttarakhand,Friends Group,4,One of the best homestays we have visited.,Positive,Cleanliness,2025-04-14,No,9,Referral
6,1038,Oakwood Cottage,Uttarkashi,Uttarakhand,Solo Traveler,4,Beautiful mountain views and peaceful atmosphere.,Positive,Food,2026-05-09,No,6,Travel Agency
7,1044,Wildflower Retreat,Rudraprayag,Uttarakhand,Solo Traveler,5,Loved the scenic surroundings and fresh air.,Positive,Hospitality,2024-09-23,Yes,3,Google
8,1016,Green Hills Homestay,Pithoragarh,Uttarakhand,Couple,4,Beautiful mountain views and peaceful atmosphere.,Positive,Value for Money,2025-01-01,Yes,4,Direct
9,1033,Snow Peak Homestay,Uttarkashi,Uttarakhand,Friends Group,3,Good experience but room maintenance can improve.,Neutral,Amenities,2024-11-13,Yes,4,Referral
10,1041,Oakwood Cottage,Kausani,Uttarakhand,Family,4,Loved the scenic surroundings and fresh air.,Positive,Trekking,2025-01-21,Yes,10,Travel Agency
11,1020,Sunrise Eco Stay,Almora,Uttarakhand,Couple,4,Clean rooms and wonderful service.,Positive,Trekking,2025-04-29,Yes,1,Travel Agency
